url,job_title,company,location,salary,experience,education,level,employment_type,industry,required_skills,preferred_skills,specialization,job_description,requirement,_filter_decision,_filter_reason
https://www.topcv.vn/viec-lam/graphic-visual-designer-thoi-trang-nu-cao-cap-quan-2-thu-nhap-tot-nhieu-khong-gian-sang-tao-ket-hop-ai-di-lam-ngay/2093786.html,"Graphic /Visual Designer , Thời Trang Nữ Cao Cấp, Quận 2, Thu Nhập Tốt, Nhiều Không Gian Sáng Tạo, Kết Hợp AI, Đi Làm Ngay",Thương hiệu thời trang Oceana London,Hồ Chí Minh,Thoả thuận,1 năm,Cao Đẳng trở lên,Nhân viên,Toàn thời gian,Thời trang,"['Kỹ năng giao tiếp', 'Thiết kế đồ họa', 'Thiết Kế Hình Ảnh', 'Kỹ năng làm việc nhóm', 'Sáng tạo', 'Hiểu Biết Về Màu Sắc', 'Sử Dụng Phần Mềm Thiết Kế (adobe Photoshop, Illustrator, Indesign)', 'Thẩm Mỹ Tốt']","['Hiểu Biết Về Ngành Thời Trang Nữ Cao Cấp', 'Sử Dụng Ai Trong Thiết Kế (midjourney, Stable Diffusion)']","['1 năm kinh nghiệm', 'Cao Đẳng trở lên', 'Tiếng Anh Đọc hiểu', 'Tiếng Anh Giao tiếp cơ bản', 'Bảo hiểm xã hội', 'Team building', 'Du lịch hàng năm', 'Thiết kế đồ họa (Graphic Design)', 'May mặc / Thời trang', 'Marketing / Quảng cáo', 'Thiết kế / Kiến trúc']","Oceana & Baga là thương hiệu thời trang đang phát triển mạnh với phong cách thanh lịch và tinh tế. Năm 2026, chúng tôi sẽ triển khai những dự án branding thú vị và đang tìm kiếm một bạn Junior Graphic Designer để cùng team Creative tạo ra những visual đẹp và hiệu quả. MÔ TẢ CÔNG VIỆC Thiết kế graphic cho các chiến dịch marketing: khuyến mãi, nội dung social media, banner và tài liệu quảng cáo Phối hợp với team Creative xây dựng visual cho bộ sưu tập mới, bao gồm banner, poster, key visual và các yếu tố đồ họa hỗ trợ trên các kênh social Hỗ trợ chuẩn bị concept, đạo cụ và bối cảnh cho các buổi photoshoot lookbook & campaign Học hỏi và sử dụng các công cụ AI để hỗ trợ thiết kế, tối ưu quy trình làm việc (công ty sẽ đào tạo thêm) Cập nhật xu hướng thiết kế và hình ảnh thời trang trên Pinterest, Behance, TikTok","Quan Trọng: Có Portfolio thể hiện phong cách cá nhân phù hợp với brand thời trang (có thể là đồ án, dự án cá nhân) Tốt nghiệp chuyên ngành Thiết kế Đồ họa, Thiết kế Thời trang hoặc ngành liên quan Yêu thích thời trang và có gu thẩm mỹ tốt Thành thạo Adobe Photoshop và Illustrator Biết sử dụng công cụ AI là một điểm cộng lớn Chủ động học hỏi, thường xuyên cập nhật xu hướng thiết kế Khả năng làm việc nhóm và chịu áp lực deadline",drop,graphic_visual
https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-ban-hang-sales-thu-nhap-tu-10-50-trieu-hoa-hong-khong-gioi-han/2092356.html,Nhân Viên Kinh Doanh / Tư Vấn Bán Hàng / Sales Thu Nhập Từ 10 - 50 Triệu + Hoa Hồng Không Giới Hạn,CÔNG TY CỔ PHẦN RAPIDA TECHNOLOGIES,Hà Nội,15 - 50 triệu,1 năm,Cao Đẳng trở lên,Nhân viên,Toàn thời gian,IT - Phần mềm,[],[],"['1 năm kinh nghiệm', 'Cao Đẳng trở lên', 'Kinh doanh phần mềm', 'B2B', 'B2C']","Tìm kiếm, liên hệ và tư vấn khách hàng sử dụng phần mềm quản lý bán hàng ShopQR Demo sản phẩm online (TeamViewer/Google Meet/Zalo) hoặc trực tiếp tại cửa hàng Phân tích nhu cầu và đề xuất giải pháp phù hợp với từng mô hình kinh doanh Báo giá, đàm phán và chốt hợp đồng Hỗ trợ triển khai ban đầu và hướng dẫn khách hàng sử dụng Chăm sóc khách hàng sau bán, khai thác thêm nhu cầu (upsell, referral)","Có từ 1 năm kinh nghiệm Sales / Telesales / Kinh doanh Tốt nghiệp Trung cấp/Cao đẳng/Đại học Giao tiếp tốt, chủ động, có khả năng thuyết phục Sử dụng cơ bản Word, Excel, Internet, Facebook, Zalo Có laptop và phương tiện di chuyển Ưu tiên: Kinh nghiệm bán phần mềm, SaaS, POS hoặc ngành F&B/bán lẻ Có kinh nghiệm đi thị trường hoặc chốt deal trực tiếp",drop,marketing_sales
https://www.topcv.vn/viec-lam/pre-sales-engineer-it-software-remote-work-ky-su-ban-hang-phan-mem-cntt/2080021.html,Pre- Sales Engineer ( It Software) Remote Work/ Kỹ Sư Bán Hàng (Phần Mềm CNTT),CÔNG TY TNHH TOPSEC VIỆT NAM,Hồ Chí Minh,"1,500 - 2,000 USD",3 năm,Đại Học trở lên,Nhân viên,Toàn thời gian,IT - Phần mềm,"['technical support', 'Pre-Sales', 'cybersecurity products', 'cybersecurity technologies', 'IT infrastructure solutions']",['enterprise customers'],"['3 năm kinh nghiệm', 'Đại Học trở lên', 'Tiếng Anh Đọc hiểu', 'Nghỉ thứ 7', 'Thưởng tháng 13', 'Bán hàng kỹ thuật IT', 'An ninh mạng', 'IT - Phần cứng và máy tính', 'B2C', 'B2B']","Promote and sell: Dell and HPE servers, Asiainfo’s endpoint security, firewall hardware, APT, and email security software. Conduct product presentations, demonstrations, and technical consultations for customers. Analyze client requirements and design appropriate technical solutions. Prepare technical proposals, solution documentation, and tender materials. Support project implementation and provide post-sales technical assistance when required.",Minimum 3 years of experience in pre-sales or technical support for cybersecurity products. Solid knowledge of cybersecurity technologies and IT infrastructure solutions. Experience working with enterprise customers is preferred. English proficiency at the working level.,drop,marketing_sales
https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-business-development-sales-b2b-outbound-2-nam-kinh-nghiem-hoa-hong-len-toi-20/1993114.html,Nhân Viên Kinh Doanh | Business Development ( Sales B2B Outbound) - 2 Năm Kinh Nghiệm - Hoa Hồng Lên Tới 20%,CÔNG TY CỔ PHẦN TEASER,Hà Nội,30 - 50 triệu,2 năm,Đại Học trở lên,Nhân viên,Toàn thời gian,IT - Phần mềm,['Sales'],['Marketing'],"['2 năm kinh nghiệm', 'Đại Học trở lên', 'Kinh doanh phần mềm', 'Marketing / Quảng cáo', 'IT - Phần mềm', 'Tài chính', 'B2B', 'B2C', 'Telesales', 'Online Sales']","Về Teaser Software Teaser Software được thành lập từ năm 2022, là một công ty công nghệ đang phát triển nhanh, chuyên cung cấp các giải pháp IT Outsourcing hiện đại cho thị trường toàn cầu. Chúng tôi tập trung vào phát triển ứng dụng mobile, web platform và các hệ thống phần mềm tùy chỉnh chất lượng cao. Với tinh thần đổi mới và khát khao phát triển, Teaser không chỉ là một đơn vị outsourcing, mà hướng tới trở thành đối tác công nghệ lâu dài cho các doanh nghiệp trên toàn thế giới. Đặt trụ sở tại trung tâm Hà Nội, chúng tôi đang xây dựng một đội ngũ trẻ, năng động và đầy tham vọng. Vị trí: Business Development (Chấp nhận Fresher/Junior) Chúng tôi đang tìm kiếm những bạn Business Development năng động, chủ động và có tư duy phát triển để gia nhập team tại Hà Nội. Bạn sẽ đóng vai trò quan trọng trong việc mở rộng tệp khách hàng quốc tế và góp phần trực tiếp vào sự tăng trưởng của công ty. Bạn sẽ làm gì: Chủ động tìm kiếm và tiếp cận khách hàng tiềm năng tại các thị trường US, EU, AU,... Phân tích thị trường, xác định cơ hội kinh doanh và đề xuất hướng tiếp cận phù hợp Xây dựng, phát triển và duy trì mối quan hệ lâu dài với khách hàng Tham gia xây dựng proposal, pitching giải pháp và theo sát quá trình chốt deal Phối hợp với team nội bộ (PM, Tech, Marketing) để đảm bảo deliver đúng nhu cầu khách hàng Đề xuất và cải tiến quy trình sales nhằm tối ưu hiệu suất và tăng trưởng doanh thu","Chúng tôi đang tìm kiếm Tối thiểu 2 năm kinh nghiệm trong sales, ưu tiên lĩnh vực IT outsourcing hoặc dịch vụ phần mềm Có kinh nghiệm chủ động tìm kiếm, tiếp cận và phát triển khách hàng mới (lead generation) Tự tin trao đổi, tư vấn và xây dựng mối quan hệ với khách hàng Có tư duy kinh doanh, hiểu cơ bản về quy trình sales (pipeline, conversion, v.v.) Có hứng thú hoặc đã từng làm việc trong lĩnh vực công nghệ / software development Chủ động trong công việc, có trách nhiệm và tinh thần ownership cao Có khả năng làm việc độc lập, xử lý vấn đề và theo đuổi mục tiêu Có thể sử dụng tiếng Anh trong giao tiếp và làm việc với khách hàng quốc tế",drop,marketing_sales
https://www.topcv.vn/viec-lam/lap-trinh-may-phay-cnc-thu-nhap-tu-8-15-trieu-tai-ha-noi/2080589.html,Lập Trình Máy Phay CNC Thu Nhập Từ 8 - 15 Triệu Tại Hà Nội,CÔNG TY CỔ PHẦN CƠ KHÍ MTECH VJC,"Việc làm tại Hà Nội, Xã Đan Phượng - Hà Nội, Xã Hoài Đức - Hà Nội, Xã Phúc Thọ - Hà Nội",8 - 15 triệu,1 năm,Cao Đẳng trở lên,Nhân viên,Toàn thời gian,Sản xuất,[],[],"['1 năm kinh nghiệm', 'Cao Đẳng trở lên', 'Bảo hiểm xã hội', 'Thưởng tháng 13', 'Thưởng hiệu quả làm việc', 'Kỹ sư lập trình máy', 'Sản xuất', 'Công nghệ kỹ thuật']","- Vận hành các máy công cụ phay CNC - Gia công chi tiết theo bản vẽ - Tiếp nhận các bản vẽ từ bộ phận thiết kế. - Tiến hành kiểm tra, bóc tách bản vẽ thiết kế. - Sử dụng phần mềm chuyên dụng thực hiện lập trình gia công các chi tiết, đảm bảo phù hợp với các thông số kỹ thuật của máy CNC. - Xuất bản vẽ và gửi lên bộ phận kiểm tra","- Nam/ nữ, độ tuổi 18-35 - Tốt nghiệp CĐ chuyên ngành trở lên - Đọc, hiểu bản vẽ cơ khí, công nghệ cắt gọt kim loại - Hiểu biết phần mềm CAD/ CAM - Ưu tiên có từ 1 năm kinh nghiệm, kinh nghiệm dưới 1 năm sẽ được đào tạo thêm. - Kỹ năng vận hành máy móc và công cụ CNC cũng như các công cụ đo lường chính xác - Sức khỏe tốt, chăm chỉ nhanh nhẹn, chịu khó",drop,industrial_engineering
https://www.topcv.vn/viec-lam/nhan-vien-lap-trinh-cnc-cnc-programmer-thu-nhap-upto-25-trieu/2085759.html,Nhân Viên Lập Trình CNC (CNC Programmer) - Thu Nhập Upto 25 Triệu,CÔNG TY TNHH SẢN XUẤT CÔNG NGHIỆP AZTECH VINA,"Việc làm tại Bắc Ninh, Xã Yên Phong - Bắc Ninh",12 - 25 triệu,1 năm,Cao Đẳng trở lên,Nhân viên,Toàn thời gian,Sản xuất,[],[],"['1 năm kinh nghiệm', 'Cao Đẳng trở lên', 'Kỹ sư lập trình máy', 'Viễn thông', 'Điện / Điện tử / Điện lạnh', 'Cơ khí / Tự động hóa']","• Tiếp nhận bản vẽ 2D/3D từ bộ phận kỹ thuật hoặc khách hàng. • Lập trình gia công trên phần mềm CAM (Mastercam ...). • Xuất chương trình gia công phù hợp với hệ điều khiển máy (Fanuc, Mitsubishi). • Tối ưu đường chạy dao, tốc độ cắt, bước tiến để đảm bảo: Độ chính xác cao Bề mặt đạt yêu cầu Tối ưu thời gian gia công • Phối hợp với thợ đứng máy để set up và chạy thử chương trình. • Chỉnh sửa chương trình khi có lỗi hoặc cải tiến năng suất. • Tính toán vật liệu, dao cụ và phương án gia công tối ưu. • Lưu trữ, quản lý file lập trình theo quy trình công ty.","• Tốt nghiệp Cao đẳng/Đại học chuyên ngành Cơ khí chế tạo, Cơ điện tử. • Có kinh nghiệm lập trình CNC từ 1–3 năm (ưu tiên cơ khí chính xác). • Thành thạo ít nhất 1 phần mềm CAM (Mastercam). • Đọc hiểu bản vẽ kỹ thuật, dung sai, GD&T. • Am hiểu vật liệu cơ khí (thép, inox, nhôm, SKD, SUS...). • Có kiến thức về dao cụ, chế độ cắt. • Cẩn thận, tư duy kỹ thuật tốt, khả năng xử lý vấn đề.",drop,industrial_engineering
https://www.topcv.vn/viec-lam/key-account-manager-b2b/2088723.html,Key Account Manager (B2B),Công ty CP An ninh mạng Việt Nam,Hồ Chí Minh,Thoả thuận,3 năm,Đại Học trở lên,Nhân viên,Toàn thời gian,IT - Phần mềm,"['Xây dựng mối quan hệ', 'Đàm phán', 'Quản Lý Dự Án', 'Phân Tích Thị Trường', 'Giải quyết vấn đề', 'Lập Kế Hoạch Kinh Doanh', 'Quản Lý Tài Khoản Khách Hàng', 'Bán Hàng B2b']",[],"['3 năm kinh nghiệm', 'Đại Học trở lên', 'Có hỗ trợ Data', 'Nghỉ thứ 7', 'Sales IT Phần mềm khác', 'An ninh mạng', 'B2B', 'Direct Sales']","Phân tích thị trường và các xu hướng, xác định cơ hội và tạo pipeline mới cho các leads tiềm năng. Nhận diện khách hàng tiềm năng, liên quan đến các dịch vụ/sản phẩm của công ty thông qua nghiên cứu, đánh giá, cold call và tận dụng kênh social media. Tìm kiếm, duy trì và phát triển mạng lưới khách hàng và đối tác tiềm năng thuộc nhiều lĩnh vực. Cập nhật thông tin sản phẩm và chương trình từ hãng dành cho đối tác và khách hàng. Quản lý các pipeline khách hàng riêng: nghiên cứu các yêu cầu và cùng đội kỹ thuật tìm ra giải pháp cho các bài toán của khách hàng. Meeting với khách hàng để trình bày giải pháp và thống nhất các giấy tờ liên quan. Đàm phán và chốt hợp đồng. Tham gia các buổi event, workshop và các hoạt động marketing của công ty và hãng để tăng connection. Các công việc khác theo yêu cầu của quản lý cấp trên.","Tốt nghiệp các trường Đại học khối Kinh tế, Ngoại ngữ thương mại, … Có kinh nghiệm Sales/AM từ 3 năm trở lên ở các ngành Công nghệ thông tin, an toàn bảo mật. Quyết liệt, thực chiến, có mối quan hệ & biết cách bán hàng dự án B2B. Ưu tiên nếu đã làm các tệp KH: BFSI/ ENT(Mid - Large) hoặc GOV Quen thuộc với các công cụ văn phòng: Google Mail /Docs/Sheets/Slide Có tinh thần sẵn sàng học hỏi, nghiêm túc với công việc sales là đáp ứng đúng nhu cầu của khách hàng. Tiếng Anh thành thạo là 1 lợi thế (Không bắt buộc)",drop,marketing_sales
https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-nganh-pod/2038834.html,Nhân Viên Thiết Kế - Ngành POD,CÔNG TY TNHH VIKCOM,Hồ Chí Minh,8 - 10 triệu,Không yêu cầu,Cao Đẳng trở lên,Nhân viên,Toàn thời gian,Marketing / Truyền thông / Quảng cáo,"['Sáng tạo', 'Khả Năng Làm Việc Độc Lập', 'Tư Duy Thẩm Mỹ']","['Kỹ năng làm việc nhóm', 'Kỹ Năng Nghiên Cứu Thị Trường', 'Hiểu Biết Về Các Xu Hướng Thiết Kế', 'Kỹ Năng Sử Dụng Các Công Cụ Ai Hỗ Trợ Thiết Kế']","['Không yêu cầu kinh nghiệm', 'Cao Đẳng trở lên', 'Thiết kế đồ họa (Graphic Design)', 'Thương mại điện tử', 'Mỹ thuật / Nghệ thuật / Điện ảnh', 'Thiết kế / Kiến trúc']","• Thực hiện thiết kế các mẫu các mẫu sản phẩm in ấn (Poster, Áo T-shirt, Cốc..) dựa trên các idea có sẵn hoặc tự sáng tạo dành cho thị trường Mỹ - EU • Phối hợp phát triển mẫu theo trend US • Liên tục cập nhật kiến thức về thiết kế và xu hướng thẩm mỹ của khách hàng tại Mỹ, Châu Âu","• Tốt nghiệp Đại học/Cao đẳng chuyên ngành thiết kế đồ hoạ, mỹ thuật CN... hoặc có liên quan • Fresher sử dụng thành thạo PTS, AI, chưa có KN sẽ được đào tạo • Có kinh nghiệm với Graphic Designer mảng in ấn/ POD, ... là lợi thế • Có khả năng nghiên cứu, nắm bắt trend thiết kế POD thị trường US, EU là một lợi thế",drop,graphic_visual
https://www.topcv.vn/viec-lam/designer-thu-nhap-hap-dan-uu-tien-nam-lam-viec-tai-quan-02/2081338.html,Designer - Thu Nhập Hấp Dẫn - Ưu Tiên Nam - Làm Việc Tại Quận 02,CÔNG TY CỔ PHẦN MASFICO VIỆT NAM,Hồ Chí Minh,11 - 13 triệu,1 năm,Cao Đẳng trở lên,Nhân viên,Toàn thời gian,Sản xuất,"['Sử Dụng Thành Thạo Adobe Creative Suite (photoshop, Illustrator, Indesign)', 'Thiết Kế Cho Mạng Xã Hội (facebook, Instagram, Tiktok)', 'Thiết Kế Cho Thương Mại Điện Tử (banner, Landing Page, Quảng Cáo)']",[],"['1 năm kinh nghiệm', 'Cao Đẳng trở lên', 'Bảo hiểm xã hội', 'Thưởng tháng 13', 'Thưởng hiệu quả làm việc', 'Thiết kế đồ họa (Graphic Design)', 'Marketing / Quảng cáo', 'Mỹ thuật / Nghệ thuật / Điện ảnh', 'Thiết kế / Kiến trúc']","Thiết kế ấn phẩm Social & Digital: post, banner, infographic, thumbnail, ads theo KV. Thiết kế hình ảnh sản phẩm, banner và visual cho các kênh TMĐT (Shopee, TikTok Shop…). Thiết kế visual cho campaign sale, landing page, livestream. Quản lý template thiết kế và tối ưu hình ảnh theo hiệu quả bán hàng. Hỗ trợ dựng video ngắn và tham gia quay chụp cùng team Content/Media.","Tối thiểu 1–2 năm kinh nghiệm trong thiết kế Graphic/Digital. Thành thạo các phần mềm thiết kế như Photoshop, Illustrator. Có kinh nghiệm thiết kế cho Social Media hoặc Ecommerce. Có khả năng dựng video cơ bản (Premiere, After Effects, CapCut…) là lợi thế. Có tư duy layout, gu thẩm mỹ tốt, cập nhật xu hướng thiết kế và làm việc teamwork hiệu quả.",drop,graphic_visual
https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-phan-mem-sale-b2b-nghi-thu-7-chu-nhat-thu-nhap-10-20m-tai-ha-noi-hcm/2073064.html,"Nhân Viên Kinh Doanh , Tư Vấn Phần Mềm / Sale B2B (Nghỉ Thứ 7, Chủ Nhật, Thu Nhập 10 - 20M) Tại Hà Nội + HCM",Công ty cổ phần iCheck,Hà Nội,Thoả thuận,Dưới 1 năm,Cao Đẳng trở lên,Nhân viên,Toàn thời gian,IT - Phần mềm,[],[],"['Dưới 1 năm kinh nghiệm', 'Cao Đẳng trở lên', 'Tuổi 23 - 28', 'Nữ', 'Giọng miền Bắc', 'Phát âm chuẩn', 'Diễn đạt trôi chảy', 'Nghỉ thứ 7', 'Kinh doanh phần mềm', 'B2B', 'Direct Sales', 'Telesales', 'Online Sales']","Tiếp cận và chăm sóc tệp khách hàng Doanh nghiệp tiềm năng phù hợp với dịch vụ, giải pháp mà iCheck cung cấp. Phân tích nhu cầu, tư vấn cho các khách hàng hiểu và áp dụng các giải pháp công nghệ, giúp các doanh nghiệp thành công trong việc chuyển đổi số, nâng cao hiệu suất làm việc và năng lực cạnh tranh trên thị trường. Tạo ra giá trị cho doanh nghiệp bằng việc tư vấn và mang lại giải pháp phù hợp, hưởng thu nhập trên giá trị mình tạo ra cho khách hàng và iCheck. Theo dõi, hỗ trợ khách hàng từ khâu tư vấn đến chốt hợp đồng; Tiếp thu ý kiến từ khách hàng, kết hợp với các bộ phận Phát triển sản phẩm, Chăm sóc khách hàng để xây dựng và cải thiện sản phẩm, dịch vụ ngày càng hoàn thiện. Duy trì tốt mối quan hệ với doanh nghiệp sau bán hàng để gia tăng được nguồn khách hàng giới thiệu khách hàng, nâng cấp gói dịch vụ hoặc bán thêm nhiều sản phẩm khác. Xử lý nhanh chóng những phản hồi từ phía khách hàng.","Tốt nghiệp Cao Đẳng/ Đại học không phân biệt các chuyên ngành. Ưu tiên các bạn đã có kinh nghiệm ít nhất 6 tháng ở các vị trí Sales, nhân viên tư vấn, chuyên viên kinh doanh, chăm sóc khách hàng,... Kỹ năng chăm sóc khách hàng tốt Thích tự học, tìm tòi, nghiên cứu, học hỏi những cái mới. Kiên trì, khả năng chịu áp lực trong công việc. Có laptop cá nhân",drop,marketing_sales
https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-designer-thuong-mai-dien-tu-thu-nhap-upto-16m-khong-yeu-cau-kinh-nghiem/2085339.html,Nhân Viên Thiết Kế / Designer - Thương Mại Điện Tử Thu Nhập Upto 16M - Không Yêu Cầu Kinh Nghiệm,Công ty TNHH Thương Mại và Dịch Vụ KR CTB,Hà Nội,13 - 16 triệu,Không yêu cầu,Đại Học trở lên,Nhân viên,Toàn thời gian,Thương mại điện tử,[],[],"['Không yêu cầu kinh nghiệm', 'Đại Học trở lên', 'Thiết kế đồ họa (Graphic Design)']","GIỚI THIỆU CÔNG TY 16h30 đã tan làm – bạn có dám thay đổi nhịp sinh học để đổi lấy sự tự do? Hà Nội, 5 giờ chiều - trong khi hàng triệu người vẫn đang mắc kẹt ở Ngã Tư Sở hay Vành Đai 3, thì Designer tại công ty chúng tôi đã: về đến nhà đi tập gym hoặc dành thời gian cho gia đình Tại sao? Vì chúng tôi làm việc từ 07:00 – 16:30. Chúng tôi không tìm kiếm những Designer chỉ biết làm việc theo cách cũ. Chúng tôi tìm kiếm những Designer biết tận dụng AI để làm việc thông minh hơn. Chúng tôi là công ty thương mại điện tử bán hàng tại thị trường Hàn Quốc, trên các nền tảng lớn: Coupang, Naver Smart Store, 11St Founder của công ty có kinh nghiệm trong kinh doanh truyền thống, Amazon Global Ecommerce và Công nghệ thông tin (IT). Nhờ đó, công ty nhận được nhiều hỗ trợ từ các nền tảng thương mại điện tử lớn tại Hàn Quốc. MÔ TẢ CÔNG VIỆC Công việc của Designer tập trung vào sản xuất design phục vụ bán hàng trên sàn thương mại điện tử, bao gồm: Thiết kế hình ảnh sản phẩm: ảnh main, label, trang mô tả sản phẩm Thiết kế bao bì: nhãn, hộp, packaging Thiết kế marketing: banner quảng cáo, infographic, thumbnail Đặc biệt: Ứng dụng AI để sản xuất design và content số lượng lớn. Ví dụ: AI image generation, AI design tools, AI hỗ trợ chỉnh sửa và tối ưu hình ảnh. Mục tiêu là tăng hiệu suất làm việc, không phải làm thủ công toàn bộ.","Chúng tôi không tìm người design quá “nghệ sĩ”. Chúng tôi tìm kiếm Designer có: Kinh nghiệm thiết kế sản phẩm, banner quảng cáo, listing hoặc nội dung liên quan đến E-commerce Sử dụng tốt Photoshop Sử dụng thành thạo các tính năng cơ bản của các phần mềm thiết kế như: Photoshop, Adobe XD, Adobe Premiere, Adobe Illustrator, InDesign, hoặc các phần mềm tương tự Sử dụng AI là một lợi thế Biết tiếng Hàn là một lợi thế Phẩm chất cần có: Trung thực và chủ động trong công việc Ham học hỏi và sẵn sàng cập nhật công nghệ mới Khả năng thích nghi nhanh với môi trường làm việc Không yêu cầu ngoại hình hay độ tuổi Kinh nghiệm: Ưu tiên có kinh nghiệm làm việc trong mảng thương mại điện tử. Tuy nhiên, nếu chưa có kinh nghiệm vẫn sẽ được đào tạo",drop,graphic_visual
https://www.topcv.vn/viec-lam/nhan-vien-design-full-time-luong-co-ban-8-5-12-trieu-thuong/2084127.html,Nhân Viên Design Full-Time (Lương Cơ Bản: 8.5 - 12 Triệu + Thưởng),Công ty TNHH Tabcom Care,Hà Nội,8.5 - 12 triệu,Dưới 1 năm,Cao Đẳng trở lên,Nhân viên,Toàn thời gian,Thương mại điện tử,"['Adobe Photoshop', 'Adobe Illustrator', 'Thành thạo Canva', 'Phân tích màu sắc', 'Phân tích bố cục']",[],"['Dưới 1 năm kinh nghiệm', 'Cao Đẳng trở lên', 'Bảo hiểm xã hội', 'Bảo hiểm sức khỏe', 'Team building', 'Thiết kế đồ họa (Graphic Design)', 'Mỹ thuật / Nghệ thuật / Điện ảnh']","Tiếp nhận và phân tích yêu cầu thiết kế từ thông tin khách hàng hoặc bộ phận liên quan để hiểu rõ mục tiêu, đối tượng và thông điệp cần truyền tải. Lên ý tưởng sáng tạo và phác thảo sơ bộ và xây dựng concept phù hợp với yêu cầu dự án. Sử dụng các công cụ phần mềm thiết kế để tạo ra các ấn phẩm như poster, brochure, banner, logo, bao bì sản phẩm, giao diện website, đảm bảo tính thẩm mỹ và hiệu quả truyền thông. Tiếp nhận phản hồi từ khách hàng hoặc bộ phận liên quan để điều chỉnh và hoàn thiện thiết kế. Làm việc chặt chẽ với bộ phận dịch vụ, vận hành, sản xuất, in ấn để đảm bảo sản phẩm thiết kế được triển khai đúng kế hoạch và chất lượng. Thiết kế các ấn phẩm truyền thông (poster, banner, infographics, hình ảnh cho mạng xã hội) theo order của phòng truyền thông - Thiết kế các tài liệu quảng cáo trực tuyến - Đảm bảo các sản phẩm thiết kế đáp ứng đúng yêu cầu về mặt hình ảnh và nội dung truyền thông của công ty. - Làm việc với các bộ phận liên quan để đảm bảo tính đồng nhất trong hình ảnh thương hiệu. Báo cáo kết quả và tiến độ công việc cho Leader.","Trình độ & Kinh nghiệm Tốt nghiệp Cao đẳng/Đại học chuyên ngành Truyền thông đa phương tiện, Cộng nghệ đa phương tiện, thiết kế đồ họa, thiết kế, mỹ thuật,... Có từ 6 tháng kinh nghiệm thiết kế đồ họa, thiết kế các chiến dịch truyền thông mkt Hiểu rõ về thiết kế và các quy định khác về bản quyền thiết kế. Kỹ năng Thành thạo Canva, Adobe Illustrator, Adobe Photoshop,... Cẩn thận, tỉ mỉ, trách nhiệm Kỹ năng phân tích hình ảnh, màu sắc và bố cục Kỹ năng làm việc nhóm, giao tiếp các phòng ban hiệu quả. Kỹ năng quản lý và làm việc chéo.",drop,graphic_visual
https://www.topcv.vn/viec-lam/chuyen-vien-thiet-ke-do-hoa-biet-tieng-trung-thu-nhap-hap-dan-nhan-viec-ngay/2087636.html,"Chuyên Viên Thiết Kế Đồ Họa (Biết Tiếng Trung ) - Thu Nhập Hấp Dẫn, Nhận Việc Ngay",CÔNG TY TNHH VEO VIET NAM LIMITED,Hồ Chí Minh,Thoả thuận,3 năm,Cao Đẳng trở lên,Nhân viên,Toàn thời gian,Nhà hàng / Khách sạn,"['Thiết kế đồ họa', 'Sáng tạo', 'Sử Dụng Thành Thạo Các Phần Mềm Thiết Kế (adobe Photoshop, Illustrator, Indesign)', 'Tư Duy Thẩm Mỹ']","['Biên tập Video', 'Thiết Kế Web', 'Kinh Nghiệm Làm Việc Với Các Dự Án Liên Quan Đến Thị Trường Trung Quốc']","['3 năm kinh nghiệm', 'Cao Đẳng trở lên', 'Tuổi 25 - 35', 'Nam', 'Tiếng Trung HSK 5', 'Thiết kế đồ họa (Graphic Design)', 'Thương mại điện tử', 'Bán lẻ - Hàng tiêu dùng - FMCG', 'Thực phẩm / Đồ uống']","1/ Thiết kế bao bì sản phẩm, 2/ Thiết kế gian hàng thương mại điện tử, 3/ Quay video ngắn và chỉnh sửa thực tế; 4/ Thiết kế áp phích","1/ Cao đẳng trở lên, ưu tiên các ngành liên quan đến truyền thông hình ảnh, thiết kế đồ họa, thiết kế quảng cáo. 2/Kinh nghiệm : 3 năm trở lên kinh nghiệm làm việc liên quan 3/Trình độ tiếng Hoa HSK5 4/ Tuổi: 20-35 tuổi, làm việc tỉ mỉ, có tinh thần trách nhiệm, có khả năng phối hợp hiệu quả với nhịp độ làm việc với lãnh đạo. 5/Kỹ năng sử dụng kỹ năng phần mềm thiết kế đồ họa như PS, AI, CDR, thành thạo phần mềm cắt video như PR, AE, hiểu sáng tác nhiếp ảnh, kiểm soát ánh sáng, có thể hoàn thành toàn bộ quá trình cắt ảnh độc lập. 6/Thẩm mỹ trực tuyến, sáng tạo và ý tưởng, thực hiện mạnh mẽ, không lười biếng, có thể chấp nhận làm thêm giờ hợp lý, chú ý đến chi tiết và kết quả.",drop,graphic_visual
